íÁëÃâÑí∑,íÁëÃïù,ç∂âEï«ëÃçÇÇ≥,íÜãlìyìVí[çÇÇ≥,íÁäOãÊä‘ínï\ñ ,íÁì‡ãÊä‘ínï\ñ ,à¯í£çﬁä‘äu,ç›óàínî’èdó ,ç›óàínî’ãÊï™,ç›óàínî’Níl,ç›óàínî’ñÄéCäp,ç›óàínî’îSíÖóÕ,ç›óàínî’ïœå`åWêî,íÜãlÇﬂèdó ,íÜãlÇﬂãÊï™,íÜãlÇﬂNíl,íÜãlÇﬂñÄéCäp,íÜãlÇﬂîSíÖóÕ,ñÓî¬å^,ñÓî¬çﬁóø,à¯í£çﬁíºåa,à¯í£çﬁçﬁóøî‘çÜ,ï†ãNÇµçﬁéø,íÁäOë§êÖà _èÌéû,íÁì‡ë§êÖà _èÌéû,ÇπÇÒífïœå`îjâÛ,ääìÆÅAéxéùóÕ,ç™ì¸ÇÍïîÇÃà¿íË,é’êÖå¯â ,ñÓî¬ÇÃëœóÕè∆ç∏,É^ÉCÉçÉbÉhÇÃëœóÕè∆ç∏,ï†ãNÇµÇÃëœóÕè∆ç∏,ñÓî¬ÇÃëSí∑,à¯í£çﬁà íu,ï†ãNÇµî‘çÜ,ç™ì¸ÇÍê[Ç≥,ÇπÇÒífïœå`îjâÛ_label,ääìÆÅAéxéùóÕ_label,ç™ì¸ÇÍïîÇÃà¿íË_label,é’êÖå¯â _label,ñÓî¬ÇÃëœóÕè∆ç∏_label,É^ÉCÉçÉbÉhÇÃëœóÕè∆ç∏_label,ï†ãNÇµÇÃëœóÕè∆ç∏_label
20,5.7,4,3.9,0,0,1.6,12,1,7,24,165,179400,12,1,20,42,190,0,390,35,1,1,0.1,0,0.001200012,0.016980331,0.00100001,0.030434783,0,0,0,6.9,0.5,5,2.9,0,0,0,0,0,0,0
29,8.2,6.8,6.7,3.1,0,1.6,20,0,28,7,242,59700,13,0,43,28,192,1,390,67,0,1,4.3,0,0.027998133,0.074074074,0.049689441,0.693069307,0.055319149,0.023255814,0.010810811,12,5.7,4,5.2,0,0,0,0,0,0,0
23,13.3,9.7,9.6,0,0.8,1.6,18,1,27,7,136,139100,17,0,35,22,9,2,390,28,1,0,8.4,0.1,0.23715415,0.195439739,0.236220472,1.25,0.353191489,1.818181818,0.614285714,13.3,7.1,0,3.6,0,0,0,3,0,3,0
13,10.6,8.5,8.4,0,1,1.6,12,0,11,21,272,118900,15,1,42,34,69,0,295,90,1,1,3,0.2,0.001200012,0.030082728,0.020191822,0.360824742,0.005555556,0,0,12.4,4.9,2,3.9,0,0,0,0,0,0,0
17,11.8,5.9,5.8,0,0.9,0.8,16,0,21,35,10,59000,15,0,2,27,70,0,390,40,1,1,5.5,0.4,0.070216501,0.268456376,0.235756385,0.498575499,0.046808511,0.078431373,0.016216216,15.7,2.7,1,9.8,0,0,0,0,0,0,0
21,13.1,3.2,3.1,0,0.6,1.6,20,0,32,4,48,198200,16,0,13,20,71,0,390,55,1,1,2.1,0.4,0.001200012,0.134378499,0.06615215,0.202663578,0.004255319,0.019607843,0.010810811,9.3,1.2,1,6.1,0,0,0,0,0,0,0
26,1.2,8.6,8.5,2.4,0,0.8,15,1,42,18,87,138300,16,1,25,13,72,1,295,71,0,1,3.8,0,0.001200012,0.007567636,0.00100001,0.018229167,0,0,0,11,2.8,0,2.4,0,0,0,0,0,0,0
20,6.3,3.5,3.4,0,0.8,0.8,13,1,41,18,281,18700,20,1,16,7,189,1,390,32,1,1,2.8,0.5,0.001200012,0.019815059,0.00100001,0.804597701,0.004255319,0.063636364,0.005405405,4.3,1,6,0.8,0,0,0,1,0,0,0
24,7.6,8.9,8.8,0,2.5,1.6,17,0,0,32,20,157800,11,0,28,44,190,2,390,48,0,1,5,2.3,0.001200012,0.142857143,0.105913504,0.372340426,0.012765957,0.011627907,0,15.6,7.6,5,6.7,0,0,0,0,0,0,0
14,4.9,7.7,7.6,0,2.4,0.8,20,1,36,1,155,137700,18,0,35,12,249,2,295,44,1,1,6.6,0.1,0.001200012,0.152671756,0.058962264,0.690335306,0.011111111,0.009803922,0,14.7,5.7,7,7,0,0,0,0,0,0,0
