íÁëÃâÑí∑,íÁëÃïù,ç∂âEï«ëÃçÇÇ≥,íÜãlìyìVí[çÇÇ≥,íÁäOãÊä‘ínï\ñ ,íÁì‡ãÊä‘ínï\ñ ,à¯í£çﬁä‘äu,ç›óàínî’èdó ,ç›óàínî’ãÊï™,ç›óàínî’Níl,ç›óàínî’ñÄéCäp,ç›óàínî’îSíÖóÕ,ç›óàínî’ïœå`åWêî,íÜãlÇﬂèdó ,íÜãlÇﬂãÊï™,íÜãlÇﬂNíl,íÜãlÇﬂñÄéCäp,íÜãlÇﬂîSíÖóÕ,ñÓî¬å^,ñÓî¬çﬁóø,à¯í£çﬁíºåa,à¯í£çﬁçﬁóøî‘çÜ,ï†ãNÇµçﬁéø,íÁäOë§êÖà _èÌéû,íÁì‡ë§êÖà _èÌéû,à¯í£çﬁà íu,ï†ãNÇµî‘çÜ,ç™ì¸ÇÍê[Ç≥,à¿ëSó¶ÉGÉâÅ[îªíË
20,5.7,4.0,3.9,0.0,0.0,1.6,12,1,7,24,165,179400,12,1,20,42,190,0,1,35,1,1,0.1,0.0,0.5,5,2.9000000000000004,0
29,8.2,6.8,6.7,3.1,0.0,1.6,20,0,28,7,242,59700,13,0,43,28,192,1,1,67,0,1,4.3,0.0,5.7,4,5.2,0
23,13.3,9.7,9.6,0.0,0.8,1.6,18,1,27,7,136,139100,17,0,35,22,9,2,1,28,1,0,8.4,0.1,7.1,0,3.6000000000000014,0
13,10.6,8.5,8.4,0.0,1.0,1.6,12,0,11,21,272,118900,15,1,42,34,69,0,0,90,1,1,3.0,0.2,4.9,2,3.9,0
17,11.8,5.9,5.8,0.0,0.9,0.8,16,0,21,35,10,59000,15,0,2,27,70,0,1,40,1,1,5.5,0.4,2.7,1,9.8,0
21,13.1,3.2,3.1,0.0,0.6,1.6,20,0,32,4,48,198200,16,0,13,20,71,0,1,55,1,1,2.1,0.4,1.2,1,6.1000000000000005,0
26,1.2,8.6,8.5,2.4,0.0,0.8,15,1,42,18,87,138300,16,1,25,13,72,1,0,71,0,1,3.8,0.0,2.8,0,2.4000000000000004,0
20,6.3,3.5,3.4,0.0,0.8,0.8,13,1,41,18,281,18700,20,1,16,7,189,1,1,32,1,1,2.8,0.5,1.0,6,0.7999999999999998,0
24,7.6,8.9,8.8,0.0,2.5,1.6,17,0,0,32,20,157800,11,0,28,44,190,2,1,48,0,1,5.0,2.3,7.6,5,6.699999999999999,0
14,4.9,7.7,7.6,0.0,2.4,0.8,20,1,36,1,155,137700,18,0,35,12,249,2,0,44,1,1,6.6,0.1,5.7,7,6.999999999999999,0
19,6.1,5.0,4.9,0.0,1.7,1.6,15,1,46,15,194,77800,19,1,46,4,250,0,1,60,1,1,3.2,0.4,3.2,7,3.3000000000000007,0
23,7.4,2.3,2.2,0.2,0.0,1.6,19,1,5,29,232,17900,19,0,6,42,251,0,0,76,1,1,0.4,0.0,0.9,6,9.3,0
13,4.6,9.2,9.1,0.0,4.1,0.8,12,0,41,43,68,196800,17,0,13,9,11,1,1,72,1,0,6.7,2.3,4.9,9,9.6,0
17,5.9,6.5,6.4,1.4,0.0,1.6,16,0,0,12,106,136900,17,1,25,2,12,1,0,88,1,0,2.2,0.0,6.0,8,5.9,0
29,3.2,5.4,5.3,0.0,0.1,0.8,20,1,35,26,242,116700,14,0,32,14,72,2,0,84,0,1,3.1,0.0,4.0,0,6.199999999999999,0
12,4.4,2.7,2.6,0.8,0.0,1.6,14,1,46,40,280,56900,15,1,43,7,73,2,1,34,0,1,1.2,0.0,1.8,0,2.5,0
27,9.5,5.6,5.5,0.0,0.3,1.6,12,0,45,40,174,136300,19,1,35,1,190,0,0,61,0,0,4.2,0.2,3.3,5,0.9000000000000004,0
22,8.0,9.9,9.8,0.0,1.4,1.6,20,1,40,23,48,56200,17,0,2,6,250,1,1,73,0,1,8.2,0.3,3.4,7,7.1,0
26,9.3,7.2,7.1,0.0,1.3,1.6,14,0,50,37,87,195400,17,1,13,44,251,2,0,89,0,1,4.0,0.6,1.8,7,3.3999999999999995,0
17,6.5,6.0,5.9,0.0,1.3,0.8,17,0,34,6,222,175200,15,1,20,11,11,2,1,85,1,0,5.3,0.7,5.2,9,3.6999999999999993,0
21,7.8,3.3,3.2,0.0,0.8,1.6,12,1,45,20,261,115300,15,0,32,4,12,0,0,35,1,0,2.1,0.6,2.4,8,9.7,0
25,9.1,8.7,8.6,2.3,0.0,0.8,16,1,4,34,299,55500,16,1,43,42,13,0,1,50,0,0,3.4,0.0,5.7,8,6.0,0
15,6.3,7.5,7.4,2.8,0.0,1.6,19,0,39,2,135,35300,13,0,50,9,73,1,0,47,1,0,5.5,0.0,4.5,0,6.300000000000001,0
10,11.4,2.4,2.3,0.0,0.8,1.6,17,1,38,2,29,114700,18,0,42,3,190,1,0,74,1,0,0.9,0.7,1.3,6,4.699999999999999,0
14,12.7,7.8,7.7,0.0,2.8,0.8,12,1,49,16,67,54800,18,0,2,41,191,2,1,89,1,0,6.5,0.4,3.7,5,1.0000000000000009,0
18,13.9,5.1,5.0,0.0,2.1,1.6,16,1,8,30,106,194000,18,1,13,33,192,2,1,39,1,0,3.3,0.8,4.7,4,6.9,0
22,2.1,2.4,2.3,0.2,0.0,0.8,20,0,18,44,144,134100,19,0,25,26,193,0,0,55,0,0,0.3,0.0,1.8,4,3.2,0
11,5.7,9.6,9.5,0.0,0.3,1.6,16,1,12,27,213,133500,11,1,35,25,71,1,0,28,1,0,6.1,0.2,4.3,1,7.799999999999999,0
22,3.0,8.5,8.4,0.0,0.6,0.8,19,0,48,41,48,113300,19,0,42,37,130,2,1,90,0,1,0.8,0.5,2.7,4,8.100000000000001,0
29,11.8,3.4,3.3,0.0,0.6,1.6,20,0,27,38,58,13100,14,0,16,10,250,1,0,33,1,1,2.0,0.1,2.4,8,5.0,0
23,10.3,7.6,7.5,0.0,2.0,0.8,18,1,21,21,232,132100,12,1,35,15,11,2,0,45,0,1,5.1,1.3,4.0,9,1.700000000000001,0
14,7.6,6.4,6.3,0.0,1.9,1.6,11,0,6,35,67,111900,20,0,42,27,70,0,0,41,1,0,6.3,1.4,2.8,2,2.0,0
15,1.0,7.6,7.5,2.7,0.0,1.6,11,0,1,18,47,151500,13,0,17,38,14,0,0,26,1,1,5.2,0.0,6.7,7,9.8,0
21,9.9,2.6,2.5,0.1,0.0,0.8,12,0,31,15,56,51300,18,0,43,10,134,2,1,34,0,1,2.5,0.0,0.9,1,6.800000000000001,0
19,3.2,2.9,2.8,0.0,0.1,0.8,14,1,41,29,289,70800,13,0,46,42,252,0,0,77,0,0,0.5,0.0,0.6,7,1.5000000000000004,0
10,13.5,9.8,9.7,0.0,0.9,1.6,17,0,25,43,125,50600,11,1,2,9,12,1,1,73,1,1,5.9,0.7,9.0,9,1.799999999999999,0
21,10.8,8.6,8.5,0.0,1.0,0.8,11,1,9,12,260,30500,18,0,9,22,71,2,0,69,0,0,8.4,0.0,6.6,1,2.1,0
23,5.1,7.7,7.6,0.0,2.5,0.8,19,1,34,37,144,49200,12,1,2,44,252,1,0,90,0,0,5.1,1.9,6.8,7,5.2,0
24,12.4,6.9,6.8,0.0,0.2,1.6,18,0,8,17,28,68000,15,1,46,21,133,1,0,44,0,0,0.5,0.1,6.5,3,8.4,0
28,13.7,4.2,4.1,0.0,0.3,0.8,12,1,18,31,66,8100,15,0,6,14,134,2,1,60,1,0,3.0,0.2,3.3,2,4.7,0
18,11.0,3.0,2.9,0.0,0.3,0.8,15,1,3,45,202,187000,13,0,13,26,194,2,0,56,0,1,0.5,0.2,1.9,4,5.0,0
13,9.5,7.2,7.1,0.0,1.4,0.8,13,0,48,27,76,106900,11,0,32,31,254,1,0,68,1,0,2.3,0.3,3.1,6,1.6000000000000003,0
25,6.7,6.0,5.9,0.0,1.3,1.6,16,1,33,41,211,86800,18,0,39,43,14,1,1,64,1,0,4.0,0.4,1.9,8,1.9000000000000004,0
15,4.0,4.8,4.7,0.0,1.2,0.8,20,0,17,10,47,66600,16,1,46,11,73,2,0,61,0,1,4.7,0.5,4.2,1,2.2,0
27,1.2,3.6,3.5,0.0,1.0,1.6,13,1,1,24,182,46500,13,0,2,23,133,0,1,57,1,0,2.0,0.5,2.7,3,2.6,0
10,2.5,9.0,8.9,0.0,3.0,0.8,17,1,12,38,221,185600,14,1,13,16,134,0,1,73,1,0,3.2,2.3,6.3,2,8.5,0
14,3.8,6.4,6.3,0.0,2.5,0.8,11,1,22,7,259,125700,14,1,24,8,135,0,0,89,0,0,5.2,0.0,4.0,2,4.799999999999999,0
26,1.0,5.2,5.1,0.0,2.2,1.6,15,0,6,21,95,105500,12,0,32,21,195,1,1,85,1,1,2.5,0.2,2.9,4,5.1000000000000005,0
30,2.3,2.5,2.4,0.0,1.1,0.8,19,0,17,35,133,45700,12,1,43,13,196,2,0,35,1,1,2.1,0.3,1.3,3,1.4,0
24,7.4,5.5,5.4,0.0,2.4,0.8,17,1,16,35,27,125100,16,1,35,7,13,2,0,61,1,0,3.2,0.3,2.6,9,9.4,0
15,4.6,4.3,4.2,0.0,2.0,1.6,20,0,0,4,163,104900,14,1,42,20,72,0,1,58,0,1,3.5,0.5,3.6,1,9.7,0
15,11.2,5.5,5.4,0.0,0.5,1.6,20,0,47,32,143,144500,17,1,17,31,16,0,1,43,0,0,1.6,0.3,3.0,7,8.0,0
27,8.4,4.3,4.2,0.0,0.5,0.8,13,1,31,1,278,124300,15,0,24,43,75,1,0,39,1,1,2.9,0.4,1.8,0,8.3,0
21,13.5,7.3,7.2,0.0,0.8,0.8,11,0,30,1,173,4700,19,0,16,37,193,2,0,66,0,1,1.8,0.5,2.7,5,6.6000000000000005,0
22,6.9,8.5,8.4,0.0,1.8,1.6,11,0,26,29,152,44300,13,1,43,3,136,2,1,51,0,0,6.5,0.4,8.1,1,4.9,0
