No,íÁëÃâÑí∑,íÁëÃïù,ç∂âEï«ëÃçÇÇ≥,ñÓî¬ÇÃëSí∑,ç™ì¸ÇÍê[Ç≥,íÜãlìyìVí[çÇÇ≥,íÁäOãÊä‘ínï\ñ ,íÁì‡ãÊä‘ínï\ñ ,à¯í£çﬁä‘äu,à¯í£çﬁà íu,ç›óàínî’èdó ,ç›óàínî’ãÊï™,ç›óàínî’Níl,ç›óàínî’ñÄéCäp,ç›óàínî’îSíÖóÕ,ç›óàínî’ïœå`åWêî,íÜãlÇﬂèdó ,íÜãlÇﬂãÊï™,íÜãlÇﬂNíl,íÜãlÇﬂñÄéCäp,íÜãlÇﬂîSíÖóÕ,ñÓî¬å^,ñÓî¬çﬁóø,à¯í£çﬁíºåa,à¯í£çﬁçﬁóøî‘çÜ,ï†ãNÇµçﬁéø,ï†ãNÇµî‘çÜ,íÁäOë§êÖà _èÌéû,íÁì‡ë§êÖà _èÌéû,íÁäOë§êÖà _ínêkéû,íÁì‡ë§êÖà _ínêkéû, êkìx
20018,18,6.8,4.5,5.7,1.2,4.4,0,0.4,0.8,2,15, _Sandy,29,9,10,116100,17, _Sandy,42,13,249,4, _SY295,57,1,1,9,1,0,1.4,0.1,0.4
20076,11,12.6,6.9,13.5,6.6,6.8,0,0.2,1.6,1.7,17, _Sandy,6,7,16,178600,18, _Clay,13,8,136,3, _SY295,90,0,1,3,5.2,0,0.2,0,0.1
20171,13,11.8,7.1,9,1.9,7,2.1,0,0.8,3.1,14, _Sandy,49,23,4,15700,13, _Clay,2,18,21,5, _SY295,26,0,0,9,2.6,0,3.8,0,0.4
20210,13,3.5,5.1,8.7,3.6,5,2.2,0,0.8,3.2,15, _Sandy,5,8,11,124800,17, _Sandy,20,40,264,5, _SY390,88,1,0,6,4.3,0,2.9,0,0.4
20234,21,8.8,6.6,7.4,0.8,6.5,1.9,0,1.6,4.3,14, _Sandy,47,25,0,178300,19, _Clay,50,41,87,3, _SY390,50,0,0,9,2.9,0,4.6,0,0.1
20246,21,3.7,5.1,6.9,1.8,5,0.9,0,1.6,3.1,14, _Clay,4,44,0,36400,11, _Clay,38,27,267,4, _SY390,67,0,0,6,2.8,0,1.4,0,0.1
20257,21,11.7,3.7,6.5,2.8,3.6,0.1,0,0.8,2.1,13, _Sandy,11,18,0,93500,12, _Clay,27,13,147,5, _SY390,85,1,0,2,2.5,0,2.5,0,0.2
20260,28,7.5,6.7,16,9.3,6.6,1.7,0,1.6,2.1,14, _Sandy,42,15,10,192300,18, _Clay,2,30,267,4, _SY390,27,1,0,6,2.5,0,2.7,0,0.3
20280,27,9.4,7.6,16.6,9,7.5,1.3,0,0.8,2.4,16, _Sandy,33,7,18,187300,19, _Sandy,42,35,151,4, _SY390,54,1,1,1,3.5,0,1.5,0,0.1
20325,24,7.2,7.4,15.3,7.9,7.3,1.2,0,1.6,4.7,11, _Sandy,4,3,171,176100,16, _Sandy,42,41,274,4, _SY390,55,0,1,4,6.6,0,4,0,0.2
