,堤体延長,堤体幅,左右壁体高さ,中詰土天端高さ,堤外区間地表面,堤内区間地表面,引張材間隔,在来地盤重量,在来地盤区分,在来地盤N値,在来地盤摩擦角,在来地盤粘着力,在来地盤変形係数,中詰め重量,中詰め区分,中詰めN値,中詰め摩擦角,中詰め粘着力,矢板型,矢板材料,引張材直径,引張材材料番号,腹起し材質,堤外側水位_常時,堤内側水位_常時,せん断変形破壊,滑動、支持力,根入れ部の安定,遮水効果,矢板の耐力照査,タイロッドの耐力照査,腹起しの耐力照査
0,20,5.7,4.0,3.9,0.0,0.0,1.6,12,1,7,24,165,179400,12,1,20,42,190,3,390,35,1,1,0.1,0.0,0.001200012000120001,0.01698033111645677,0.001000010000100001,0.030434782608695653,0.0,0.0,0.0
1,29,8.2,6.8,6.7,3.1,0.0,1.6,20,0,28,7,242,59700,13,0,43,28,192,4,390,67,0,1,4.3,0.0,0.02799813345776948,0.07407407407407407,0.04968944099378882,0.6930693069306931,0.05531914893617021,0.023255813953488372,0.010810810810810811
2,23,13.3,9.7,9.6,0.0,0.8,1.6,18,1,27,7,136,139100,17,0,35,22,9,5,390,28,1,0,8.4,0.1,0.23715415019762848,0.19543973941368079,0.2362204724409449,1.25,0.35319148936170214,1.8181818181818181,0.6142857142857143
3,13,10.6,8.5,8.4,0.0,1.0,1.6,12,0,11,21,272,118900,15,1,42,34,69,3,295,90,1,1,3.0,0.2,0.001200012000120001,0.03008272750062672,0.020191822311963654,0.3608247422680413,0.005555555555555556,0.0,0.0
4,17,11.8,5.9,5.8,0.0,0.9,0.8,16,0,21,35,10,59000,15,0,2,27,70,3,390,40,1,1,5.5,0.4,0.07021650087770626,0.2684563758389262,0.2357563850687623,0.4985754985754986,0.04680851063829787,0.0784313725490196,0.016216216216216217
5,21,13.1,3.2,3.1,0.0,0.6,1.6,20,0,32,4,48,198200,16,0,13,20,71,3,390,55,1,1,2.1,0.4,0.001200012000120001,0.1343784994400896,0.0661521499448732,0.2026635784597568,0.00425531914893617,0.0196078431372549,0.010810810810810811
6,26,1.2,8.6,8.5,2.4,0.0,0.8,15,1,42,18,87,138300,16,1,25,13,72,4,295,71,0,1,3.8,0.0,0.001200012000120001,0.007567635744466166,0.001000010000100001,0.018229166666666668,0.0,0.0,0.0
7,20,6.3,3.5,3.4,0.0,0.8,0.8,13,1,41,18,281,18700,20,1,16,7,189,4,390,32,1,1,2.8,0.5,0.001200012000120001,0.019815059445178335,0.001000010000100001,0.8045977011494253,0.00425531914893617,0.06363636363636363,0.005405405405405406
8,24,7.6,8.9,8.8,0.0,2.5,1.6,17,0,0,32,20,157800,11,0,28,44,190,5,390,48,0,1,5.0,2.3,0.001200012000120001,0.14285714285714285,0.10591350397175639,0.3723404255319149,0.01276595744680851,0.011627906976744186,0.0
9,14,4.9,7.7,7.6,0.0,2.4,0.8,20,1,36,1,155,137700,18,0,35,12,249,5,295,44,1,1,6.6,0.1,0.001200012000120001,0.15267175572519082,0.05896226415094339,0.6903353057199211,0.011111111111111112,0.00980392156862745,0.0
10,19,6.1,5.0,4.9,0.0,1.7,1.6,15,1,46,15,194,77800,19,1,46,4,250,3,390,60,1,1,3.2,0.4,0.001200012000120001,0.040983606557377046,0.017301038062283735,0.36458333333333337,0.0,0.0,0.0
11,23,7.4,2.3,2.2,0.2,0.0,1.6,19,1,5,29,232,17900,19,0,6,42,251,3,295,76,1,1,0.4,0.0,0.001200012000120001,0.005831470502478375,0.001000010000100001,0.05343511450381679,0.011111111111111112,0.0,0.0
12,13,4.6,9.2,9.1,0.0,4.1,0.8,12,0,41,43,68,196800,17,0,13,9,11,4,390,72,1,0,6.7,2.3,0.001200012000120001,0.10109519797809605,0.06670372429127293,0.32618825722274,0.12340425531914893,0.19607843137254902,0.04285714285714286
13,17,5.9,6.5,6.4,1.4,0.0,1.6,16,0,0,12,106,136900,17,1,25,2,12,4,295,88,1,0,2.2,0.0,0.028605482717520857,0.10978956999085086,0.11100832562442182,0.40322580645161293,0.5111111111111111,0.11764705882352941,0.08571428571428572
14,29,3.2,5.4,5.3,0.0,0.1,0.8,20,1,35,26,242,116700,14,0,32,14,72,5,295,84,0,1,3.1,0.0,0.054372451291345714,0.03622094778146694,0.001000010000100001,0.6692160611854684,0.022222222222222223,0.0,0.005405405405405406
15,12,4.4,2.7,2.6,0.8,0.0,1.6,14,1,46,40,280,56900,15,1,43,7,73,5,390,34,0,1,1.2,0.0,0.002592016588906169,0.008008008008008008,0.001000010000100001,0.4117647058823529,0.00851063829787234,0.031914893617021274,0.010810810810810811
16,27,9.5,5.6,5.5,0.0,0.3,1.6,12,0,45,40,174,136300,19,1,35,1,190,3,295,61,0,0,4.2,0.2,0.020902281832433374,0.04602991944764096,0.0473559589581689,1.1784511784511784,0.06111111111111111,0.03488372093023256,0.014285714285714285
17,22,8.0,9.9,9.8,0.0,1.4,1.6,20,1,40,23,48,56200,17,0,2,6,250,4,390,73,0,1,8.2,0.3,0.1501877346683354,0.2745995423340961,0.1440922190201729,1.0086455331412103,0.08085106382978724,0.13953488372093023,0.04864864864864865
18,26,9.3,7.2,7.1,0.0,1.3,1.6,14,0,50,37,87,195400,17,1,13,44,251,5,295,89,0,1,4.0,0.6,0.001200012000120001,0.06589785831960461,0.04786597526924611,0.5434782608695652,0.011111111111111112,0.023255813953488372,0.016216216216216217
19,17,6.5,6.0,5.9,0.0,1.3,0.8,17,0,34,6,222,175200,15,1,20,11,11,5,390,85,1,0,5.3,0.7,0.001200012000120001,0.0900225056264066,0.07001166861143523,0.9210526315789475,0.06808510638297872,0.0196078431372549,0.007142857142857143
20,21,7.8,3.3,3.2,0.0,0.8,1.6,12,1,45,20,261,115300,15,0,32,4,12,3,295,35,1,0,2.1,0.6,0.001200012000120001,0.015096238520568626,0.001000010000100001,0.16248839368616527,0.016666666666666666,0.03636363636363636,0.007142857142857143
21,25,9.1,8.7,8.6,2.3,0.0,0.8,16,1,4,34,299,55500,16,1,43,42,13,3,390,50,0,0,3.4,0.0,0.02214022140221402,0.023396373562097873,0.001000010000100001,0.5087209302325582,0.15319148936170213,0.05813953488372093,0.007142857142857143
22,15,6.3,7.5,7.4,2.8,0.0,1.6,19,0,39,2,135,35300,13,0,50,9,73,4,295,47,1,0,5.5,0.0,0.20905923344947733,0.21089630931458697,0.11583011583011583,0.8860759493670886,0.1388888888888889,0.10784313725490197,0.1
