,堤体延長,堤体幅,左右壁体高さ,中詰土天端高さ,堤外区間地表面,堤内区間地表面,引張材間隔,在来地盤重量,在来地盤区分,在来地盤N値,在来地盤摩擦角,在来地盤粘着力,在来地盤変形係数,中詰め重量,中詰め区分,中詰めN値,中詰め摩擦角,中詰め粘着力,矢板型,矢板材料,引張材直径,引張材材料番号,腹起し材質,堤外側水位_地震時,堤内側水位_地震時,震度,せん断変形破壊,滑動、支持力,根入れ部の安定,矢板の耐力照査,タイロッドの耐力照査,腹起しの耐力照査
0,20,5.7,4.0,3.9,0.0,0.0,1.6,12,1,7,24,165,179400,12,1,20,42,190,3,390,35,1,1,0.7,0.0,0.1,0.01869508319312021,0.028074115665356544,0.001000010000100001,0.0,0.006060606060606061,0.0
1,29,8.2,6.8,6.7,3.1,0.0,1.6,20,0,28,7,242,59700,13,0,43,28,192,4,390,67,0,1,4.2,0.0,0.1,0.061050061050061055,0.09208103130755065,0.05422503389064618,0.025495750708215296,0.007751937984496124,0.007142857142857143
2,23,13.3,9.7,9.6,0.0,0.8,1.6,18,1,27,7,136,139100,17,0,35,22,9,5,390,28,1,0,2.2,0.6,0.5,1.0,0.4273504273504274,0.4013377926421404,0.830028328611898,4.527272727272727,1.5238095238095237
3,13,10.6,8.5,8.4,0.0,1.0,1.6,12,0,11,21,272,118900,15,1,42,34,69,3,295,90,1,1,2.0,0.7,0.1,0.04088307440719542,0.038299502106472615,0.012838343853642879,0.0,0.0,0.0
4,17,11.8,5.9,5.8,0.0,0.9,0.8,16,0,21,35,10,59000,15,0,2,27,70,3,390,40,1,1,4.4,0.6,0.4,0.6289308176100629,0.6134969325153374,1.1764705882352942,1.3371104815864023,0.43790849673202614,0.08571428571428572
5,21,13.1,3.2,3.1,0.0,0.6,1.6,20,0,32,4,48,198200,16,0,13,20,71,3,390,55,1,1,1.2,0.3,0.1,0.05042864346949068,0.14705882352941177,0.037418147801683815,0.0,0.0,0.0
6,26,1.2,8.6,8.5,2.4,0.0,0.8,15,1,42,18,87,138300,16,1,25,13,72,4,295,71,0,1,7.5,0.0,0.3,0.040436716538617065,0.06273525721455459,0.02700877785280216,0.003703703703703704,0.11515151515151516,0.02142857142857143
7,20,6.3,3.5,3.4,0.0,0.8,0.8,13,1,41,18,281,18700,20,1,16,7,189,4,390,32,1,1,2.6,0.3,0.2,0.001000010000100001,0.051546391752577324,0.001000010000100001,0.0028328611898017,0.030303030303030304,0.0
8,24,7.6,8.9,8.8,0.0,2.5,1.6,17,0,0,32,20,157800,11,0,28,44,190,5,390,48,0,1,3.9,0.8,0.4,0.3731343283582089,0.41841004184100417,0.6185567010309279,0.0169971671388102,0.0,0.0
9,14,4.9,7.7,7.6,0.0,2.4,0.8,20,1,36,1,155,137700,18,0,35,12,249,5,295,44,1,1,3.5,0.4,0.1,0.001000010000100001,0.1394700139470014,0.02177068214804064,0.0,0.0,0.0
10,19,6.1,5.0,4.9,0.0,1.7,1.6,15,1,46,15,194,77800,19,1,46,4,250,3,390,60,1,1,4.2,0.2,0.3,0.001000010000100001,0.12547051442910917,0.02377179080824089,0.0028328611898017,0.006535947712418301,0.0
11,23,7.4,2.3,2.2,0.2,0.0,1.6,19,1,5,29,232,17900,19,0,6,42,251,3,295,76,1,1,0.9,0.0,0.1,0.010616838305552607,0.01673360107095047,0.001000010000100001,0.007407407407407408,0.006535947712418301,0.0035714285714285713
12,13,4.6,9.2,9.1,0.0,4.1,0.8,12,0,41,43,68,196800,17,0,13,9,11,4,390,72,1,0,5.7,4.0,0.2,0.001000010000100001,0.10952902519167579,0.08037508372404555,0.1529745042492918,0.2222222222222222,0.047619047619047616
13,17,5.9,6.5,6.4,1.4,0.0,1.6,16,0,0,12,106,136900,17,1,25,2,12,4,295,88,1,0,5.8,0.0,0.5,1.6666666666666667,0.46511627906976744,0.19672131147540983,0.37777777777777777,0.0915032679738562,0.06666666666666667
14,29,3.2,5.4,5.3,0.0,0.1,0.8,20,1,35,26,242,116700,14,0,32,14,72,5,295,84,0,1,4.6,0.0,0.1,0.18281535648994515,0.06426735218508997,0.017371163867979156,0.02962962962962963,0.007751937984496124,0.007142857142857143
15,12,4.4,2.7,2.6,0.8,0.0,1.6,14,1,46,40,280,56900,15,1,43,7,73,5,390,34,0,1,1.6,0.0,0.4,0.054945054945054944,0.04679457182966776,0.001000010000100001,0.0056657223796034,0.028368794326241134,0.010714285714285714
16,27,9.5,5.6,5.5,0.0,0.3,1.6,12,0,45,40,174,136300,19,1,35,1,190,3,295,61,0,0,1.7,0.1,0.3,0.15060240963855423,0.1152073732718894,0.018529956763434215,0.003703703703703704,0.0,0.0
17,22,8.0,9.9,9.8,0.0,1.4,1.6,20,1,40,23,48,56200,17,0,2,6,250,4,390,73,0,1,8.2,0.5,0.2,0.6711409395973155,0.4566210045662101,0.41379310344827586,0.036827195467422094,0.07751937984496124,0.02857142857142857
18,26,9.3,7.2,7.1,0.0,1.3,1.6,14,0,50,37,87,195400,17,1,13,44,251,5,295,89,0,1,3.4,0.4,0.4,0.1404494382022472,0.25252525252525254,0.05625879043600563,0.003703703703703704,0.007751937984496124,0.0035714285714285713
19,17,6.5,6.0,5.9,0.0,1.3,0.8,17,0,34,6,222,175200,15,1,20,11,11,5,390,85,1,0,2.9,0.2,0.1,0.001000010000100001,0.06064281382656156,0.06783493499152063,0.04815864022662889,0.013071895424836602,0.004761904761904762
20,21,7.8,3.3,3.2,0.0,0.8,1.6,12,1,45,20,261,115300,15,0,32,4,12,3,295,35,1,0,3.0,0.1,0.3,0.05896226415094339,0.05213764337851929,0.001000010000100001,0.014814814814814815,0.030303030303030304,0.004761904761904762
21,25,9.1,8.7,8.6,2.3,0.0,0.8,16,1,4,34,299,55500,16,1,43,42,13,3,390,50,0,0,5.3,0.0,0.5,0.8333333333333334,0.1440922190201729,0.08108108108108107,1.2832861189801699,0.4573643410852713,0.04285714285714286
22,15,6.3,7.5,7.4,2.8,0.0,1.6,19,0,39,2,135,35300,13,0,50,9,73,4,295,47,1,0,4.9,0.0,0.2,0.35335689045936397,0.23640661938534277,0.10480349344978167,0.05925925925925926,0.0457516339869281,0.0380952380952381
23,10,11.4,2.4,2.3,0.0,0.8,1.6,17,1,38,2,29,114700,18,0,42,3,190,4,295,74,1,0,1.2,0.5,0.1,0.02042066571370227,0.19157088122605365,0.04135079255685734,0.0,0.0,0.0
24,14,12.7,7.8,7.7,0.0,2.8,0.8,12,1,49,16,67,54800,18,0,2,41,191,5,390,89,1,0,7.1,1.9,0.3,0.16260162601626016,0.48780487804878053,0.12752391073326247,0.014164305949008499,0.013071895424836602,0.009523809523809525
25,18,13.9,5.1,5.0,0.0,2.1,1.6,16,1,8,30,106,194000,18,1,13,33,192,5,390,39,1,0,3.3,1.4,0.5,0.08424599831508003,0.2247191011235955,0.001000010000100001,0.0,0.0,0.0
26,22,2.1,2.4,2.3,0.2,0.0,0.8,20,0,18,44,144,134100,19,0,25,26,193,3,295,55,0,0,2.3,0.0,0.2,0.06325110689437065,0.05534034311012728,0.021145374449339206,0.014814814814814815,0.007751937984496124,0.0
