,矢板の全長,引張材位置,腹起し番号
0,6.9,0.5,6
1,12.0,5.7,5
2,13.3,7.1,1
3,12.4,4.9,3
4,15.7,2.7,2
5,9.3,1.2,2
6,11.0,2.8,1
7,4.3,1.0,7
8,15.6,7.6,6
9,14.7,5.7,8
10,8.3,3.2,8
11,11.6,0.9,7
12,18.8,4.9,10
13,12.4,6.0,9
14,11.6,4.0,1
15,5.2,1.8,1
16,6.5,3.3,6
17,17.0,3.4,8
18,10.6,1.8,8
19,9.7,5.2,10
20,13.0,2.4,9
21,14.7,5.7,9
22,13.8,4.5,1
23,7.1,1.3,7
24,8.8,3.7,6
25,12.0,4.7,5
26,5.6,1.8,5
27,17.4,4.3,2
28,16.6,2.7,5
29,8.4,2.4,9
30,9.3,4.0,10
31,8.4,2.8,3
32,17.4,6.7,8
33,9.4,0.9,2
34,4.4,0.6,8
35,11.6,9.0,10
36,10.7,6.6,2
37,12.9,6.8,8
38,15.3,6.5,4
39,8.9,3.3,3
40,8.0,1.9,5
41,8.8,3.1,7
42,7.9,1.9,9
43,7.0,4.2,2
44,6.2,2.7,4
45,17.5,6.3,3
46,11.2,4.0,3
47,10.3,2.9,5
48,3.9,1.3,4
49,14.9,2.6,10
50,14.0,3.6,2
51,13.5,3.0,8
52,12.6,1.8,1
53,13.9,2.7,6
54,13.4,8.1,2
55,6.7,2.9,8
56,18.0,7.1,7
57,17.1,5.2,10
58,10.7,2.9,9
59,9.8,1.8,1
60,11.6,4.3,1
61,14.8,5.9,10
62,16.2,8.5,6
63,9.8,5.6,5
64,14.8,4.0,4
65,8.0,1.6,10
66,7.2,0.7,2
67,18.5,8.2,2
68,8.0,5.9,4
69,7.1,4.1,6
70,10.3,2.0,6
71,9.4,1.1,8
72,14.5,4.6,7
73,8.1,1.8,6
74,12.6,0.7,5
75,17.5,6.1,4
76,10.8,2.1,10
77,9.9,1.1,2
78,5.3,1.9,1
79,4.4,3.2,3
80,3.6,1.9,6
81,14.9,5.8,5
82,14.0,4.4,7
83,13.1,3.3,10
84,6.7,0.3,9
85,11.3,2.4,4
86,13.0,6.0,4
87,12.1,4.1,6
88,5.8,2.1,5
89,4.9,1.1,8
90,16.2,2.3,7
91,15.3,6.4,9
92,9.0,3.6,9
93,8.1,2.4,1
